Название,Композитор,Год создания,Автор текста,Музыкальный жанр,ID музыкального жанра,Тема,Ключевые слова
Богатыри,Чудова Татьяна Алексеевна,1971,Векшегонова И.,Кантаты,4.1,,
Прогулка по Москве,Чудова Татьяна Алексеевна,1976,Векшегонова И.,Прочие вокально-симфонические произведения,7.3,Родина,Москва
Звезды Кремля,Чудова Татьяна Алексеевна,,Векшегонова И.,Романсы и песни,6.1,Города,Москва
Знамя Победы,Чудова Татьяна Алексеевна,1984,Прокофьев Александр Андреевич; Чуриков; Бровка Петр Устинович; Глебка Петр Федорович,Кантаты,4.1,Великая Отечественая Война,
Симфония №3 «Молодая гвардия»,Чудова Татьяна Алексеевна,1984,,Симфонии,2.2,Великая Отечественая Война,Молодая гвардия
Русская сюита,Чудова Татьяна Алексеевна,1987,,Инструментальные произведения с оркестром,9.1,Родина,Россия
Русский Север,Чудова Татьяна Алексеевна,1980,,Инструментальные произведения с оркестром,9.1,Регионы,Север
Победа близка,Чудова Татьяна Алексеевна,1984,,Кантаты,4.1,,
Курская тишина,Чудова Татьяна Алексеевна,,,Романсы и песни,6.1,Великая Отечественая Война,
Красная площадь,Чудова Татьяна Алексеевна,,,Хоры,4.3,Родина,Москва
Мурманское танго,Чуев Михаил,,Михайлов,Романсы и песни,6.1,Города,Мурманск
Москва в названиях,Чуев Михаил,,Юнак,Романсы и песни,6.1,Города,Москва
Смоленское танго,Чуев Михаил,,Георгиев Геннадий,Романсы и песни,6.1,Города,Смоленск
Мытищи,Чуев Михаил,,Чуев Феликс,Романсы и песни,6.1,Города,Мытищи
У мемориала,Чулаки Михаил Иванович,1983,Грибачев Николай,Хоры,4.3,Великая Отечественая Война,память
Марш народного ополчения,Чулаки Михаил Иванович,1941,Рывина,Романсы и песни,6.1,Великая Отечественая Война,оборонная
Песня о Тимошенко,Чулаки Михаил Иванович,1940,Елена Рывина,Романсы и песни,6.1,Полководцы,С.К. Тимошенко
Умолкла труба полковая,Чулаки Михаил Иванович,,Лисянский Марк,Романсы и песни,6.1,,
На берегах Волхова,Чулаки Михаил Иванович,1944,Рождественский Всеволод,Кантаты,4.1,,
Симфония №2,Чулаки Михаил Иванович,1945,,Симфонии,2.2,Великая Отечественая Война,День Победы
